City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.57,69,100,14.86,TF,1717419628
1,the dalles,45.5946,-121.1787,15.48,94,93,4.47,US,1717419629
2,kruisfontein,-34.0033,24.7314,16.05,76,77,4.17,ZA,1717419630
3,sinabang,2.4803,96.3801,28.19,80,100,1.7,ID,1717419631
4,n'zeto,-7.2312,12.8666,26.24,70,64,5.63,AO,1717419632
5,aktyubinskiy,54.8137,52.8056,24.92,54,30,3.14,RU,1717419633
6,hermanus,-34.4187,19.2345,14.89,69,96,4.99,ZA,1717419634
7,punta arenas,-53.15,-70.9167,2.01,86,100,3.09,CL,1717419114
8,utrik,11.2278,169.8474,28.17,80,100,9.46,MH,1717419636
9,shanhecun,44.7,127.2,16.52,74,100,1.05,CN,1717419636
10,yuzhno-kurilsk,44.0306,145.8556,6.88,97,100,2.89,RU,1717419638
11,puerto ayora,-0.7393,-90.3518,22.53,96,26,2.15,EC,1717419638
12,adamstown,-25.066,-130.1015,21.24,78,100,0.59,PN,1717419639
13,arteche,12.2645,125.4048,26.62,87,19,1.7,PH,1717419641
14,iqaluit,63.7506,-68.5145,-0.15,93,100,6.71,CA,1717419642
15,devonport,-41.1667,146.35,11.96,91,66,3.11,AU,1717419643
16,atafu village,-8.5421,-172.5159,28.65,76,77,6.12,TK,1717419643
17,ushuaia,-54.8,-68.3,3.79,65,0,2.57,AR,1717419358
18,yellowknife,62.456,-114.3525,8.01,89,75,5.66,CA,1717419645
19,papatowai,-46.5619,169.4708,6.47,89,4,2.81,NZ,1717419645
20,tieli,46.95,128.05,12.87,97,100,2.29,CN,1717419646
21,ad dilam,23.9915,47.1627,44.23,6,0,5.91,SA,1717419647
22,guerrero negro,27.9769,-114.0611,16.07,77,100,7.71,MX,1717419647
23,manay,7.215,126.5397,26.08,89,100,1.64,PH,1717419648
24,invercargill,-46.4,168.35,3.34,92,73,1.34,NZ,1717419649
25,albany,42.6001,-73.9662,22.54,68,85,2.49,US,1717419467
26,wailua homesteads,22.0669,-159.378,23.19,81,8,1.34,US,1717419650
27,ilulissat,69.2167,-51.1,0.01,74,0,2.57,GL,1717419650
28,waitangi,-43.9535,-176.5597,7.68,91,20,5.81,NZ,1717419651
29,lata,40.1629,-8.3327,29.16,39,0,4.57,PT,1717419652
30,dudinka,69.4058,86.1778,-1.29,88,25,0.89,RU,1717419652
31,launceston,-41.45,147.1667,11.2,100,40,4.12,AU,1717419653
32,faya-largeau,17.9257,19.1043,44.94,7,0,6.17,TD,1717419654
33,north battleford,52.7834,-108.2847,9.67,81,0,5.66,CA,1717419654
34,newport,51.5877,-2.9984,20.94,81,100,0.71,GB,1717419654
35,klaksvik,62.2266,-6.589,7.51,70,9,12.38,FO,1717419655
36,zhaoyuan,37.3592,120.3964,19.39,50,0,1.98,CN,1717419655
37,chegdomyn,51.1167,133.0167,8.87,47,99,1.9,RU,1717419656
38,bethel,41.3712,-73.414,24.87,69,26,0.45,US,1717419656
39,edinburgh of the seven seas,-37.0676,-12.3116,12.12,61,65,4.5,SH,1717419657
40,vilyuysk,63.7553,121.6247,17.22,82,7,2.24,RU,1717419657
41,touros,-5.1989,-35.4608,28.8,70,94,5.32,BR,1717419658
42,margaret river,-33.95,115.0667,15.95,77,34,3.1,AU,1717419658
43,dzilam gonzalez,21.2833,-88.9333,27.38,77,80,2.16,MX,1717419658
44,whitehorse,60.7161,-135.0538,9.43,68,75,6.17,CA,1717419601
45,mount pearl,47.5166,-52.7813,10.25,98,100,5.66,CA,1717419659
46,grootfontein,-19.5667,18.1167,18.76,13,0,0.51,NA,1717419660
47,blackmans bay,-43.0167,147.3167,11.96,95,24,1.4,AU,1717419660
48,tiksi,71.6872,128.8694,4.09,89,56,2.3,RU,1717419661
49,port mathurin,-19.6833,63.4167,26.05,69,20,6.69,MU,1717419661
50,aleg,17.0481,-13.9209,38.19,14,3,4.4,MR,1717419662
51,vredendal,-31.6683,18.5012,13.08,71,100,9.25,ZA,1717419662
52,chonchi,-42.6128,-73.8092,3.95,82,100,1.45,CL,1717419662
53,laguna,38.421,-121.4238,19.07,79,0,3.09,US,1717419663
54,stanley,54.868,-1.6985,18.73,73,20,7.2,GB,1717419663
55,arhribs,36.7936,4.3116,27.3,33,4,4.88,DZ,1717419664
56,broome,42.2506,-75.833,19.74,86,95,0.89,US,1717419635
57,grytviken,-54.2811,-36.5092,-1.2,85,29,2.8,GS,1717419665
58,xilin hot,43.9667,116.0333,20.01,19,0,2.53,CN,1717419666
59,hamilton,39.1834,-84.5333,20.59,96,100,1.54,US,1717419607
60,novoishimskiy,53.1981,66.7694,24.24,47,0,7.98,KZ,1717419666
61,badger,64.8,-147.5333,12.82,86,40,1.54,US,1717419667
62,jamestown,42.097,-79.2353,19.29,96,100,2.57,US,1717419396
63,longgang,37.6508,120.3286,19.15,66,0,2.74,CN,1717419668
64,san buenaventura,27.0833,-101.5333,30.59,68,87,2.7,MX,1717419668
65,vadso,70.0744,29.7487,13.49,94,75,4.12,NO,1717419669
66,west island,-12.1568,96.8225,27.99,83,28,5.66,CC,1717419669
67,geraldton,-28.7667,114.6,16.23,88,40,2.57,AU,1717419670
68,mogadishu,2.0371,45.3438,30.93,74,40,8.23,SO,1717419670
69,saipan,15.1355,145.701,28.19,79,78,4.19,MP,1717419670
70,fort st. john,56.2499,-120.8529,9.94,71,75,3.6,CA,1717419447
71,muleshoe,34.2265,-102.7238,14.8,19,0,3.42,US,1717419672
72,kudymkar,59.0173,54.656,26.18,44,9,1.04,RU,1717419673
73,fuglafjordur,62.244,-6.814,7.26,69,10,11.6,FO,1717419673
74,puerto armuelles,8.2833,-82.8667,25.99,89,100,2.24,PA,1717419674
75,labrador city,52.9463,-66.9114,20.1,52,40,1.03,CA,1717419523
76,qaqortoq,60.7167,-46.0333,6.52,71,100,2.14,GL,1717419675
77,labytnangi,66.6572,66.4183,3.54,68,67,1.54,RU,1717419676
78,constantia,44.1833,28.65,31.5,65,8,5.82,RO,1717419677
79,ust-nera,64.5667,143.2,12.53,46,35,2.24,RU,1717419677
80,trujillo,-8.116,-79.03,15.98,94,100,3.09,PE,1717419599
81,okhotsk,59.3833,143.3,2.13,99,100,3.44,RU,1717419678
82,geneva,41.8875,-88.3054,20.94,81,11,1.34,US,1717419661
83,charlotte amalie,18.3419,-64.9307,29.82,79,99,8.52,VI,1717419680
84,belyy yar,53.6039,91.3903,14.94,58,0,3.0,RU,1717419681
85,pokaran,26.9167,71.9167,41.17,15,0,5.27,IN,1717419682
86,coquimbo,-29.9533,-71.3436,11.85,100,100,2.06,CL,1717419433
87,puerto natales,-51.7236,-72.4875,-2.75,93,0,3.09,CL,1717419675
88,al kharijah,25.4514,30.5464,40.97,7,0,5.92,EG,1717419684
89,urengoy,65.9667,78.3667,1.05,92,100,5.85,RU,1717419685
90,aur,8.1499,171.1687,28.3,82,98,8.44,MH,1717419685
91,cabo san lucas,22.8909,-109.9124,22.09,63,0,5.3,MX,1717419597
92,natitingou,10.3042,1.3796,36.22,39,55,1.05,BJ,1717419687
93,hilo,19.7297,-155.09,21.85,97,100,3.09,US,1717419688
94,ancud,-41.8697,-73.8203,5.31,79,100,4.25,CL,1717419688
95,aykhal,66.0,111.5,14.27,35,100,2.57,RU,1717419617
96,inhambane,-23.865,35.3833,27.99,69,40,7.2,MZ,1717419689
97,port elizabeth,-33.918,25.5701,17.28,83,20,7.2,ZA,1717419691
98,nantucket,41.2835,-70.0995,22.27,88,40,4.12,US,1717419461
99,bilibino,68.0546,166.4372,5.85,55,0,1.26,RU,1717419694
100,caleta de carquin,-11.0925,-77.6267,18.08,85,55,2.77,PE,1717419694
